region,model,data_mode,order,mae,rmse,mse,wis,int_cov90,int_cov80,int_cov70,int_wid90,int_wid80,int_wid70
nat,TimesFM,versioned,,0.24263469874858856,0.24263470935619483,0.18654942512512207,0.13375620543956757,0.8728813559322034,0.847457627118644,0.7923728813559322,0.8696979880332947,0.8183647394180298,0.6947420835494995
nat,ARIMA,versioned,"(1, 1, 0)",0.258422000273634,0.258422000273634,0.24759529609456127,0.21466540298144568,0.9533898305084746,0.9364406779661016,0.9067796610169492,2.323713193301201,1.8104700819312818,1.4641873913171333
nat,TimesFM,finalized,,0.2275317758321762,0.227531770275811,0.16739198565483093,0.12801706790924072,0.8559322033898306,0.8347457627118644,0.7754237288135594,0.8813064098358154,0.8299337029457092,0.7042863368988037
nat,ARIMA,finalized,"(2, 1, 0)",0.3962001887722248,0.3962001887722248,0.5584087434248591,0.28853639893301125,0.9110169491525424,0.8898305084745762,0.8686440677966102,2.3409678890987506,1.8239136990714455,1.4750596917802956
al,TimesFM,versioned,,0.34075459837913513,0.3407546006521936,0.34899529814720154,0.18581567704677582,0.8601694915254238,0.826271186440678,0.7627118644067796,1.3345752954483032,1.251516342163086,1.06392502784729
al,ARIMA,versioned,"(1, 1, 0)",0.3760023602519554,0.3760023602519554,0.75731849940022,0.3876351694214201,0.9830508474576272,0.9661016949152542,0.9533898305084746,4.52096510372623,3.5224106336993786,2.848690673420242
al,TimesFM,finalized,,0.41239839792251587,0.4123983900930922,0.49305281043052673,0.2253737598657608,0.7372881355932204,0.7330508474576272,0.6567796610169492,1.3352787494659424,1.2526317834854126,1.0648908615112305
al,ARIMA,finalized,"(1, 1, 0)",0.670290590930688,0.670290590930688,1.6378988630666582,0.5031216351346489,0.9322033898305084,0.9067796610169492,0.8686440677966102,4.524777979713005,3.525381352254522,2.8510931923544147
az,TimesFM,versioned,,0.3831125795841217,0.38311257289122724,0.2688482105731964,0.20111332833766937,0.7838983050847458,0.7584745762711864,0.6864406779661016,1.235930323600769,1.1671382188796997,0.9980588555335999
az,ARIMA,versioned,"(1, 1, 0)",0.4252100047686883,0.4252100047686883,0.35569042058185646,0.24743507769064374,0.940677966101695,0.8686440677966102,0.8177966101694916,2.4101044611797215,1.8777799402584914,1.518623113209269
az,TimesFM,finalized,,0.37999245524406433,0.3799924885822555,0.29965081810951233,0.20472778379917145,0.809322033898305,0.8008474576271186,0.711864406779661,1.1842591762542725,1.1182949542999268,0.9564675092697144
az,ARIMA,finalized,"(1, 1, 0)",0.411871151642649,0.411871151642649,0.4185250050553127,0.26664795612282854,0.9364406779661016,0.8728813559322034,0.8516949152542372,2.399844042567646,1.869785760521162,1.5121579540817378
ar,TimesFM,versioned,,0.34264644980430603,0.34264650019043585,0.36992114782333374,0.18621745705604553,0.885593220338983,0.864406779661017,0.7711864406779662,1.4831585884094238,1.3887051343917847,1.1828252077102661
ar,ARIMA,versioned,"(1, 1, 0)",0.39241739222290306,0.39241739222290306,0.5911745752968908,0.3983448637243934,0.9872881355932204,0.9703389830508474,0.9576271186440678,5.055556459228582,3.938925743217305,3.185540300340711
ar,TimesFM,finalized,,0.40923774242401123,0.40923773118499984,0.505237340927124,0.21291467547416687,0.8347457627118644,0.8220338983050848,0.7669491525423728,1.5256903171539307,1.429733157157898,1.2186566591262817
ar,ARIMA,finalized,"(1, 1, 0)",0.6433039164816273,0.6433039164816273,1.6568319070847386,0.5281230973078491,0.9491525423728814,0.9067796610169492,0.8728813559322034,5.062779263596455,3.944553232553499,3.190091438198807
ca,TimesFM,versioned,,0.3080638349056244,0.30806384273504805,0.21325860917568207,0.16999448835849762,0.7627118644067796,0.7542372881355932,0.6567796610169492,0.8843259811401367,0.8341469168663025,0.7123327851295471
ca,ARIMA,versioned,"(1, 1, 0)",0.3686831962302172,0.3686831962302172,0.3679103294591456,0.24065270499366684,0.9364406779661016,0.864406779661017,0.826271186440678,2.1355678304397387,1.6638807560640638,1.3456357263222047
ca,TimesFM,finalized,,0.27325350046157837,0.27325345424272246,0.1875365674495697,0.15571779012680054,0.7923728813559322,0.7754237288135594,0.673728813559322,0.8721240162849426,0.8233239054679871,0.7023767828941345
ca,ARIMA,finalized,"(2, 1, 0)",0.4370399125406022,0.4370399125406022,0.58246359387755,0.2848778884886477,0.923728813559322,0.885593220338983,0.8601694915254238,2.0729826825798745,1.615118913122269,1.3062004015823439
de,TimesFM,versioned,,0.2628602087497711,0.2628602167686163,0.30951637029647827,0.1654614955186844,0.9067796610169492,0.902542372881356,0.826271186440678,0.9076573848724365,0.8445286154747009,0.7260994911193848
de,ARIMA,versioned,"(2, 1, 0)",0.2812322322056336,0.2812322322056336,0.3888222542184701,0.24767305325630845,0.9491525423728814,0.9322033898305084,0.9194915254237288,2.397861593930982,1.8682411792208564,1.510908799794493
de,TimesFM,finalized,,0.2631392776966095,0.2631392574916452,0.2284729778766632,0.14912860095500946,0.8940677966101694,0.8686440677966102,0.8008474576271186,0.9371104836463928,0.87236088514328,0.7491866946220398
de,ARIMA,finalized,"(2, 1, 0)",0.30668988629879884,0.30668988629879884,0.35076542086945556,0.2476051704517297,0.9364406779661016,0.923728813559322,0.8983050847457628,2.398553751406544,1.8687804585110475,1.5113449328988051
ga,TimesFM,versioned,,0.4407031834125519,0.4407032207917359,0.6112154722213745,0.25363045930862427,0.788135593220339,0.788135593220339,0.7161016949152542,1.5056345462799072,1.4117692708969116,1.2048226594924927
ga,ARIMA,versioned,"(2, 1, 0)",0.4814845273623658,0.4814845273623658,0.6225273447711972,0.407014391938505,0.9788135593220338,0.9533898305084746,0.9364406779661016,4.922024192224792,3.834887011122588,3.101400716228275
ga,TimesFM,finalized,,0.514995813369751,0.5149958078133858,0.8090784549713135,0.28825926780700684,0.7669491525423728,0.7457627118644068,0.673728813559322,1.5443394184112549,1.4478728771209717,1.2357925176620483
ga,ARIMA,finalized,"(2, 1, 0)",0.8149220840277793,0.8149220840277793,1.9721297234471329,0.5579601483392177,0.9152542372881356,0.8771186440677966,0.8516949152542372,4.929098578783966,3.8403988639839164,3.1058583350218116
hi,TimesFM,versioned,,0.4625905156135559,0.4625905382178597,0.402651309967041,0.24612128734588623,0.8305084745762712,0.8177966101694916,0.7161016949152542,1.7628841400146484,1.6548811197280884,1.4259088039398193
hi,ARIMA,versioned,"(2, 1, 0)",0.5289373235737799,0.5289373235737799,0.6550144285546321,0.32081309197383867,0.940677966101695,0.885593220338983,0.8347457627118644,2.785095082241196,2.16994564400962,1.7549072384632853
hi,TimesFM,finalized,,0.42132651805877686,0.42132648989810784,0.31973522901535034,0.23169255256652832,0.8432203389830508,0.826271186440678,0.7457627118644068,1.569548487663269,1.4726301431655884,1.2683151960372925
hi,ARIMA,finalized,"(2, 1, 0)",0.44063865206368025,0.44063865206368025,0.3737958354166884,0.26632548146020885,0.9661016949152542,0.9067796610169492,0.8559322033898306,2.7679384960791378,2.1565784668364536,1.744096757544664
id,TimesFM,versioned,,0.4302315413951874,0.43023154998229723,0.7812073826789856,0.25584515929222107,0.8389830508474576,0.826271186440678,0.7584745762711864,1.2233173847198486,1.143234372138977,0.9809001088142395
id,ARIMA,versioned,"(1, 1, 0)",0.41816204089459413,0.41816204089459413,0.6482266044570442,0.30381535805167714,0.9364406779661016,0.8983050847457628,0.8686440677966102,2.5112789119297036,1.956607790729334,1.5823738185624994
id,TimesFM,finalized,,0.5062158107757568,0.50621584436651,1.0468400716781616,0.31991586089134216,0.7627118644067796,0.7584745762711864,0.6991525423728814,1.2035073041915894,1.1255762577056885,0.9654570817947388
id,ARIMA,finalized,"(1, 1, 0)",0.5371030693804225,0.5371030693804225,1.090762887721485,0.3906248261793339,0.885593220338983,0.8559322033898306,0.8220338983050848,2.494992798649751,1.9439188233777271,1.5721118284912585
il,TimesFM,versioned,,0.324807733297348,0.32480774643057486,0.3038143515586853,0.17854338884353638,0.7288135593220338,0.7033898305084746,0.6652542372881356,0.8506436944007874,0.801609992980957,0.6821145415306091
il,ARIMA,versioned,"(1, 1, 0)",0.4170159740544519,0.4170159740544519,0.4190879548863491,0.2632024542136683,0.9322033898305084,0.8305084745762712,0.7923728813559322,2.4552585177534785,1.91296073139067,1.5470749894961993
il,TimesFM,finalized,,0.2848074436187744,0.2848074481648914,0.25923246145248413,0.14981286227703094,0.7584745762711864,0.7330508474576272,0.652542372881356,0.8515618443489075,0.8025853037834167,0.6824943423271179
il,ARIMA,finalized,"(1, 1, 0)",0.3764958869456846,0.3764958869456846,0.40416286446437577,0.2591106272166808,0.9279661016949152,0.8983050847457628,0.8813559322033898,2.455950841083734,1.9135001399029015,1.5475112271066744
ks,TimesFM,versioned,,0.3483893871307373,0.34838939761206256,0.42360344529151917,0.2052047997713089,0.8686440677966102,0.8686440677966102,0.7838983050847458,1.473135232925415,1.3819308280944824,1.1756173372268677
ks,ARIMA,versioned,"(2, 1, 0)",0.41561742268643725,0.41561742268643725,0.5251465781910253,0.3433911617892005,0.9745762711864406,0.9491525423728814,0.9194915254237288,4.042106937834691,3.149318814392942,2.5469589060279154
ks,TimesFM,finalized,,0.39306512475013733,0.39306509911508886,0.4693141579627991,0.2070268839597702,0.8305084745762712,0.8177966101694916,0.7627118644067796,1.4739066362380981,1.3841216564178467,1.1766726970672607
ks,ARIMA,finalized,"(2, 1, 0)",0.524770723353859,0.524770723353859,0.8222763845197136,0.39175386123963934,0.9449152542372882,0.9194915254237288,0.9067796610169492,4.044240080116617,3.1509808053361703,2.548303013399722
la,TimesFM,versioned,,0.5103094577789307,0.5103094244407396,1.8169631958007812,0.3360028862953186,0.885593220338983,0.864406779661017,0.8008474576271186,1.4680054187774658,1.3736308813095093,1.1683052778244019
la,ARIMA,versioned,"(2, 1, 0)",0.4987034310968238,0.4987034310968238,1.2664236938028062,0.43257102843162826,0.9576271186440678,0.9491525423728814,0.9194915254237288,4.4025848823211575,3.430177285038221,2.7740984956668457
la,TimesFM,finalized,,0.547307014465332,0.5473070351754205,1.044037103652954,0.3233679533004761,0.7711864406779662,0.7457627118644068,0.6779661016949152,1.5511255264282227,1.4536694288253784,1.2359981536865234
la,ARIMA,finalized,"(2, 1, 0)",0.7076308332302199,0.7076308332302199,1.4619803437908445,0.4760063934674113,0.9322033898305084,0.8940677966101694,0.8305084745762712,4.371197663684454,3.405722623223413,2.7543211970273833
me,TimesFM,versioned,,0.23217728734016418,0.23217725791668486,0.24602411687374115,0.13332092761993408,0.8686440677966102,0.8432203389830508,0.7966101694915254,0.785481870174408,0.7393105626106262,0.6282976865768433
me,ARIMA,versioned,"(1, 1, 0)",0.25157028809638604,0.25157028809638604,0.25886033049323065,0.20810360229994312,0.9364406779661016,0.923728813559322,0.8813559322033898,1.9015711863314797,1.481567411778889,1.1981928590606488
me,TimesFM,finalized,,0.24291472136974335,0.24291473753371481,0.2124713659286499,0.13083209097385406,0.8432203389830508,0.8177966101694916,0.7584745762711864,0.8033525943756104,0.7563486099243164,0.6430623531341553
